time,high,low,open,volumefrom,volumeto,close
1746187200,96970.83,96920.54,96967.33,26.06,2525933.05,96949.1
1746183600,97137.7,96924.26,96929.8,377.06,36576585.96,96967.33
1746180000,96964.3,96642.55,96644.69,253.82,24583748.03,96929.8
1746176400,96810.86,96509.65,96665.31,208.99,20201536.16,96644.69
1746172800,96799.69,96386.78,96391.39,252.42,24389733.94,96665.31
1746169200,96756.47,96390.11,96742.25,389.48,37606269.82,96391.39
1746165600,96907.9,96594.33,96734.87,299.27,28948612.34,96742.25
1746162000,97028.28,96661.65,96969.48,243.59,23591126.8,96734.87
1746158400,97325.25,96910.95,97143.07,345.98,33607309.08,96969.48
1746154800,97271.99,96989.98,96990.06,383.61,37267631.5,97143.07
1746151200,97077.1,96759.34,97002.64,436.43,42306831.16,96990.06
1746147600,97201.14,96810.37,97063.35,551.64,53522498.37,97002.64
1746144000,97067.05,96508.2,96519.31,539.94,52276236.44,97063.35
1746140400,96535.89,96223.29,96418.75,525.22,50608492.9,96519.31
1746136800,96680.97,96405.52,96514.65,344.98,33300080.53,96418.75
1746133200,96820.3,96465.02,96479.55,289.23,27952760.69,96514.65
1746129600,96979.44,96394.24,96590.65,1195.23,115580844.37,96479.55
1746126000,96945.4,96480.55,96935.73,884.35,85455404.42,96590.65
1746122400,97004.66,96495.54,96839.86,942.54,91230994.14,96935.73
1746118800,97281.85,96585.64,97087.85,1228.31,119086246.15,96839.86
1746115200,97441.97,96920.0,96920.01,1446.75,140640734.61,97087.85
1746111600,97505.38,96837.31,96910.11,2382.34,231433715.08,96920.01
1746108000,96957.49,95861.72,95861.73,2878.39,277647385.2,96910.11
1746104400,96764.01,95861.53,96409.8,2230.44,214906898.21,95861.73
1746100800,96491.46,96154.91,96210.77,1902.18,183205751.36,96409.8
1746097200,96269.25,95871.27,96193.79,1245.82,119728605.12,96210.77
1746093600,96400.84,95551.12,95551.12,1492.17,143367127.75,96193.79
1746090000,95830.53,95165.95,95222.98,921.89,88011405.34,95551.12
1746086400,95229.11,94930.01,95050.06,274.28,26081559.6,95222.98
1746082800,95123.24,94832.59,94919.06,148.75,14135554.5,95050.06
1746079200,95193.84,94835.14,95164.35,429.66,40830958.05,94919.06
1746075600,95196.0,94864.44,94892.09,502.94,47783982.1,95164.35
1746072000,94944.28,94741.65,94802.88,219.48,20813989.94,94892.09
1746068400,95023.12,94702.83,94853.63,568.05,53873990.14,94802.88
1746064800,94989.18,94638.56,94656.33,611.99,58045903.89,94853.63
1746061200,94723.87,94404.61,94409.55,613.63,58059929.42,94656.33
1746057600,94410.31,94150.92,94186.14,386.53,36446088.72,94409.55
1746054000,94348.49,94022.36,94142.73,479.02,45130269.35,94186.14
1746050400,94737.83,94086.29,94450.29,609.07,57507574.8,94142.73
1746046800,94791.84,94404.32,94586.2,382.05,36143753.45,94450.29
1746043200,94748.53,94142.3,94171.92,937.53,88613653.9,94586.2
1746039600,94279.01,93770.32,94100.56,1048.09,98530490.35,94171.92
1746036000,94518.39,94023.3,94115.32,1033.43,97395990.13,94100.56
1746032400,94280.99,93764.91,93958.8,1135.28,106753088.84,94115.32
1746028800,94190.35,93550.28,94020.56,1299.78,122003181.26,93958.8
1746025200,94117.73,93672.94,93739.4,1466.67,137778180.2,94020.56
1746021600,94369.47,92968.85,93083.37,3239.94,303408905.36,93739.4
1746018000,94670.25,93061.63,94594.99,3765.83,353970191.45,93083.37
1746014400,95238.69,94386.87,95206.54,1701.19,161259890.91,94594.99
1746010800,95250.77,94967.2,94969.52,784.48,74623283.79,95206.54
1746007200,95040.72,94877.57,94994.42,199.13,18908707.82,94969.52
1746003600,95047.47,94699.34,94731.8,262.06,24873126.8,94994.42
1746000000,94819.98,94551.0,94654.21,260.12,24625050.15,94731.8
1745996400,94895.47,94537.43,94785.04,239.72,22703746.74,94654.21
1745992800,94989.72,94779.96,94927.17,289.96,27515557.32,94785.04
1745989200,95137.14,94910.19,95085.86,202.15,19207426.44,94927.17
1745985600,95191.66,94900.4,95058.3,350.95,33342218.92,95085.86
1745982000,95147.37,94539.72,94674.0,465.73,44168171.26,95058.3
1745978400,94813.06,94485.95,94561.88,406.6,38482720.91,94674.0
1745974800,94629.94,94318.69,94567.39,419.27,39622602.97,94561.88
1745971200,94660.15,94166.68,94274.16,507.99,47971468.84,94567.39
1745967600,94326.5,93780.51,94188.42,1081.25,101655467.55,94274.16
1745964000,94777.08,94079.51,94777.07,794.45,74919703.87,94188.42
1745960400,94996.24,94399.17,94873.2,1045.24,98917767.04,94777.07
1745956800,95435.67,94854.64,95342.22,718.3,68296316.83,94873.2
1745953200,95466.77,95257.52,95432.77,797.93,76097650.91,95342.22
1745949600,95480.97,95093.15,95263.94,853.93,81434091.98,95432.77
1745946000,95387.23,94693.95,94994.52,1173.47,111587430.73,95263.94
1745942400,95487.2,94831.06,94865.2,1296.73,123492905.62,94994.52
1745938800,95149.0,94759.46,95070.3,760.93,72222076.37,94865.2
1745935200,95309.32,94579.81,94837.95,1246.01,118310391.43,95070.3
1745931600,95066.46,94639.92,94857.09,1007.21,95514924.24,94837.95
1745928000,95204.8,94833.16,95165.25,430.11,40864524.86,94857.09
1745924400,95326.28,94847.85,94855.8,508.2,48366070.75,95165.25
1745920800,95081.63,94796.1,95029.96,333.4,31654504.14,94855.8
1745917200,95124.24,94840.0,95062.17,350.37,33272061.88,95029.96
1745913600,95137.9,94866.8,94959.91,409.03,38852440.56,95062.17
1745910000,94997.06,94749.34,94816.83,228.94,21719424.28,94959.91
1745906400,94847.4,94296.23,94311.83,317.72,30074703.54,94816.83
1745902800,94436.49,94248.41,94391.06,281.05,26512766.49,94311.83
1745899200,94904.63,94347.6,94686.89,401.36,37969832.63,94391.06
1745895600,94818.87,94475.13,94648.45,425.3,40257172.0,94686.89
1745892000,94986.68,94542.38,94895.61,696.79,66035116.42,94648.45
1745888400,95471.9,94770.71,95087.2,1151.95,109609749.46,94895.61
1745884800,95248.15,94861.81,95035.06,547.07,51994541.87,95087.2
1745881200,95194.99,94823.44,94847.23,684.54,65060091.36,95035.06
1745877600,94909.61,94512.05,94570.54,392.35,37147265.58,94847.23
1745874000,94581.42,94328.01,94505.98,271.75,25667098.33,94570.54
1745870400,94838.98,94412.41,94821.85,620.1,58665454.34,94505.98
